"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star"
"2021Q2",560.21915,204.62099,1148.17794,444.64958,491.58457,0.08000,1.75000,1181.87415,997.06321
"2021Q3",561.04116,204.53499,1148.35100,445.39751,492.46608,0.08000,1.75000,1183.18723,997.91236
"2021Q4",562.45651,204.45154,1165.70431,446.41441,493.95647,0.08000,1.75000,1184.39335,999.69961
"2022Q1",564.50715,204.04558,1156.09877,448.28326,501.65325,0.20000,1.75000,1185.28971,999.44200
"2022Q2",566.96067,204.57643,1160.54098,451.93169,504.17516,1.21000,2.25000,1186.42488,999.51182
"2022Q3",569.22089,205.41772,1159.03660,454.04643,499.61567,2.56000,3.00000,1186.96567,1000.18295
"2022Q4",571.01247,206.28183,1172.51084,455.24873,497.64317,4.10000,3.75000,1188.03725,1001.00748
"2023Q1",572.44081,205.47616,1165.43052,456.63731,496.88234,4.65000,4.50000,1189.28579,1001.69680
"2023Q2",573.48480,205.90243,1172.42749,456.74333,495.59334,5.08000,5.00000,1190.38902,1002.30202
"2023Q3",574.78604,206.27349,1167.50409,458.62693,497.02507,5.33000,5.00000,1190.85312,1003.36777
"2023Q4",575.79842,205.72166,1182.22827,459.34073,494.96550,5.33000,5.00000,1190.13404,1004.15350
"2024Q1",576.25134,205.45303,1180.12753,459.81466,496.47417,5.33000,5.00000,1192.09675,1004.55729
"2024Q2",576.80032,204.96366,1180.92503,460.29833,496.88391,5.33000,5.00000,1193.92151,1005.29372
"2024Q3",577.55690,204.50296,1177.78641,460.71314,496.28937,5.13000,4.75000,1194.29323,1006.05041
"2024Q4",578.51995,204.16631,1189.57072,461.02925,497.00477,4.48000,4.50000,1194.65652,1006.65541
"2025Q1",579.19333,204.19746,1184.09665,461.37580,497.77563,4.33000,4.50000,NaN,NaN
