,a,a_prom
2021M07,0.346017501,0.349867086
2021M08,0.319046216,0.348802881
2021M09,0.305253431,0.347170523
2021M10,0.32226986,0.345191981
2021M11,0.321915434,0.342242542
2021M12,0.339621692,0.339621692
2022M01,0.303696706,0.335483793
2022M02,0.35906981,0.33575623
2022M03,0.373714639,0.335016532
2022M04,0.394660901,0.339220128
2022M05,0.357199652,0.341249013
2022M06,0.3723661,0.342902662
2022M07,0.355526165,0.34369505
2022M08,0.333591348,0.344907145
2022M09,0.321568232,0.346266712
2022M10,0.361491022,0.349535142
2022M11,0.324699353,0.349767135
2022M12,0.350689448,0.350689448
2023M01,0.344882017,0.354121557
2023M02,0.369555138,0.354995335
2023M03,0.353981743,0.353350927
2023M04,0.351680363,0.349769215
2023M05,0.33719524,0.348102181
2023M06,0.324249998,0.344092506
2023M07,0.308056114,0.340136668
2023M08,0.34657445,0.341218593
2023M09,0.310944854,0.340333312
2023M10,0.341890598,0.338699943
2023M11,0.323175623,0.338572965
2023M12,0.326721913,0.336575671
2024M01,0.31000029,0.33366886
2024M02,0.37773661,0.33435065
