Fecha,Índice,Variaciones intermensuales MSE 2023,Combinación lineal óptima MSE 2023
01/03/2014,228.5207,0.3550172,3.300281047821045
01/04/2014,229.07924,0.2444148,3.1953258514404297
01/05/2014,229.64725,0.24795532,3.151841163635254
01/06/2014,230.17828,0.23124218,3.0241918563842773
01/07/2014,230.72766,0.23866892,3.0152816772460938
01/08/2014,231.21655,0.21189451,3.052762031555176
01/09/2014,231.65102,0.18789768,3.041170120239258
01/10/2014,232.1511,0.2158761,2.9817211627960205
01/11/2014,232.60875,0.1971364,2.8732924461364746
01/12/2014,233.03477,0.18315315,2.851767063140869
01/01/2015,233.47234,0.18776655,2.7952382564544678
01/02/2015,234.20435,0.31353235,2.8509926795959473
01/03/2015,234.79874,0.25379658,2.747250556945801
01/04/2015,235.38736,0.25069714,2.7536919116973877
01/05/2015,236.02936,0.27273893,2.7790944576263428
01/06/2015,236.71852,0.2919793,2.8413829803466797
01/07/2015,237.31323,0.25123358,2.8542592525482178
01/08/2015,237.87901,0.23840666,2.8814845085144043
01/09/2015,238.27773,0.16760826,2.860644578933716
01/10/2015,238.89304,0.25823116,2.9041197299957275
01/11/2015,239.35355,0.19277334,2.8996315002441406
01/12/2015,239.801,0.18694401,2.90352201461792
01/01/2016,240.33147,0.22121668,2.9378750324249268
01/02/2016,240.83789,0.21071434,2.832374334335327
01/03/2016,241.42659,0.24443865,2.822784185409546
01/04/2016,241.90959,0.20005703,2.7708473205566406
01/05/2016,242.43956,0.21908283,2.7158517837524414
01/06/2016,242.9705,0.21899939,2.641103982925415
01/07/2016,243.46765,0.20461082,2.593374729156494
01/08/2016,243.94984,0.19805431,2.552072525024414
01/09/2016,244.27747,0.13430119,2.5179600715637207
01/10/2016,244.90685,0.25764704,2.5173678398132324
01/11/2016,245.37148,0.18972158,2.5142393112182617
01/12/2016,245.85765,0.19813776,2.52569842338562
01/01/2017,246.61954,0.30988455,2.616421937942505
01/02/2017,247.1831,0.22851229,2.6346445083618164
01/03/2017,247.66112,0.19338131,2.5823745727539062
01/04/2017,248.02774,0.1480341,2.5291082859039307
01/05/2017,248.4752,0.18041134,2.489539861679077
01/06/2017,248.83153,0.14340878,2.4122366905212402
01/07/2017,249.20207,0.14891624,2.355314254760742
01/08/2017,249.53534,0.13372898,2.2896080017089844
01/09/2017,249.91264,0.15120506,2.306873083114624
01/10/2017,250.4988,0.23454428,2.2832934856414795
01/11/2017,251.06401,0.22563934,2.319972276687622
01/12/2017,251.42996,0.1457572,2.266479730606079
01/01/2018,252.0065,0.22929907,2.184317111968994
01/02/2018,252.60577,0.23779869,2.1937808990478516
01/03/2018,253.10634,0.1981616,2.198655843734741
01/04/2018,253.58475,0.18901825,2.2404732704162598
01/05/2018,254.09026,0.19934177,2.2598013877868652
01/06/2018,254.81023,0.28334856,2.4027130603790283
01/07/2018,255.49382,0.2682805,2.5247631072998047
01/08/2018,256.01483,0.20391941,2.596632719039917
01/09/2018,256.49783,0.18866062,2.635004997253418
01/10/2018,256.9307,0.16875267,2.5676400661468506
01/11/2018,257.3555,0.16534328,2.505934953689575
01/12/2018,257.6934,0.13129711,2.4911112785339355
01/01/2019,257.90338,0.08149147,2.339975357055664
