"Variables ->","ln_y_star","ln_ipei","i_star","ln_y","ln_cpi_sub","ln_s","ln_bm","i","ln_cpi"
"Comments ->","","","","","","","","",""
"Class[Size] ->","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]"
"2032Q2",1.01760541e+03,5.09774705e+02,3.90878861e+00,1.21832883e+03,6.10998244e+02,2.08289054e+02,1.23554442e+03,5.13586714e+00,5.48808826e+02
"2032Q3",1.01865387e+03,5.11008366e+02,3.87573903e+00,1.21842598e+03,6.12003306e+02,2.08921281e+02,1.23514467e+03,5.11759600e+00,5.50124340e+02
"2032Q4",1.01938221e+03,5.10998020e+02,3.84311506e+00,1.22297803e+03,6.13138346e+02,2.08608607e+02,1.24048243e+03,5.09991675e+00,5.51533298e+02
"2033Q1",1.01923522e+03,5.11537814e+02,3.81091121e+00,1.22294626e+03,6.14182005e+02,2.08510560e+02,1.24077277e+03,5.08282709e+00,5.52428458e+02
"2033Q2",1.01943407e+03,5.11753145e+02,3.77912207e+00,1.22159499e+03,6.15088453e+02,2.08464769e+02,1.24308355e+03,5.06631637e+00,5.52821569e+02
"2033Q3",1.02048253e+03,5.12986840e+02,3.74774231e+00,1.22169655e+03,6.16099873e+02,2.09093494e+02,1.24272999e+03,5.05036718e+00,5.54151715e+02
"2033Q4",1.02121088e+03,5.12976521e+02,3.71676664e+00,1.22625282e+03,6.17241182e+02,2.08777438e+02,1.24811183e+03,5.03495674e+00,5.55575102e+02
"2034Q1",1.02106388e+03,5.13516335e+02,3.68618987e+00,1.22622507e+03,6.18291003e+02,2.08676107e+02,1.24844428e+03,5.02005826e+00,5.56484436e+02
"2034Q2",1.02126273e+03,5.13731682e+02,3.65600686e+00,1.22487764e+03,6.19203494e+02,2.08627107e+02,1.25079528e+03,5.00564209e+00,5.56891430e+02
"2034Q3",1.02231119e+03,5.14965388e+02,3.62621254e+00,1.22498288e+03,6.20220829e+02,2.09252684e+02,1.25048022e+03,4.99167676e+00,5.58235135e+02
"2034Q4",1.02303954e+03,5.14955078e+02,3.59680190e+00,1.22954266e+03,6.21367913e+02,2.08933525e+02,1.25589895e+03,4.97812986e+00,5.59671736e+02
"2035Q1",1.02289254e+03,5.15494899e+02,3.56777001e+00,1.22951827e+03,6.22423368e+02,2.08829126e+02,1.25626682e+03,4.96496883e+00,5.60593929e+02
"2035Q2",1.02309139e+03,5.15710250e+02,3.53911197e+00,1.22817408e+03,6.23341346e+02,2.08777085e+02,1.25865192e+03,4.95216158e+00,5.61013416e+02
"2035Q3",1.02413985e+03,5.16943961e+02,3.51082299e+00,1.22828241e+03,6.24364021e+02,2.09399640e+02,1.25836975e+03,4.93967699e+00,5.62369250e+02
"2035Q4",1.02486820e+03,5.16933653e+02,3.48289831e+00,1.23284518e+03,6.25516299e+02,2.09077474e+02,1.26382031e+03,4.92748539e+00,5.63817620e+02
"2036Q1",1.02472120e+03,5.17473476e+02,3.45533323e+00,1.23282368e+03,6.26576803e+02,2.08970080e+02,1.26421906e+03,4.91555884e+00,5.64751228e+02
"2036Q2",1.02492005e+03,5.17688830e+02,3.42812313e+00,1.23148228e+03,6.27499690e+02,2.08915053e+02,1.26663420e+03,4.90387136e+00,5.65181789e+02
"2036Q3",1.02596851e+03,5.18922541e+02,3.40126343e+00,1.23159333e+03,6.28527135e+02,2.09534629e+02,1.26638133e+03,4.89239912e+00,5.66548369e+02
"2036Q4",1.02669686e+03,5.18912235e+02,3.37474962e+00,1.23615875e+03,6.29684053e+02,2.09209494e+02,1.27186055e+03,4.88112049e+00,5.68007171e+02
"2037Q1",1.02654987e+03,5.19452059e+02,3.34857726e+00,1.23613983e+03,6.30749069e+02,2.09099137e+02,1.27228739e+03,4.87001610e+00,5.68950917e+02
"2037Q2",1.02674871e+03,5.19667413e+02,3.32274193e+00,1.23480096e+03,6.31676348e+02,2.09041158e+02,1.27473014e+03,4.85906884e+00,5.69391339e+02
"2037Q3",1.02779718e+03,5.20901125e+02,3.29723930e+00,1.23491449e+03,6.32708072e+02,2.09657792e+02,1.27450447e+03,4.84826374e+00,5.70767519e+02
"2037Q4",1.02852552e+03,5.20890818e+02,3.27206509e+00,1.23948234e+03,6.33869159e+02,2.09329728e+02,1.28001052e+03,4.83758796e+00,5.72235680e+02
"2038Q1",1.02837853e+03,5.21430642e+02,3.24721506e+00,1.23946583e+03,6.34938245e+02,2.09216456e+02,1.28046389e+03,4.82703063e+00,5.73188561e+02
"2038Q2",1.02857737e+03,5.21645997e+02,3.22268505e+00,1.23812933e+03,6.35869498e+02,2.09155577e+02,1.28293289e+03,4.81658271e+00,5.73637911e+02
"2038Q3",1.02962584e+03,5.22879709e+02,3.19847093e+00,1.23824520e+03,6.36905108e+02,2.09769330e+02,1.28273322e+03,4.80623688e+00,5.75022829e+02
"2038Q4",1.03035418e+03,5.22869403e+02,3.17456863e+00,1.24281538e+03,6.38070000e+02,2.09438403e+02,1.28826506e+03,4.79598734e+00,5.76499553e+02
